URLs,year,IslamWords,totals,anxioutyWords,chappwords,DHSWords,ReligLWICwords,optwords,frequency_anxiouty,frequency_religLWIC,frequency_dhs,frequency_anxiouty_lag1,frequency_religLWIC_lag1,frequency_dhs_lag1,frequency_reli_Lwicnoislam,frequency_chapp,frequency_islam,frequency_opt,state,globalterrorism,abbr,femadec,terroristattack,bioguide,end_last_term,first,last,religion,unafilated,other,jew,mormon,othodoxchristain,protestantdemonation,catholic,aa,hisp,id,icpsr,thomas,govtrack,cong,gender,type,start,end,district,class,party,dw1,comc,comr,leadcham,simpleparty,dwisest,manualcorrection,scomc,scomr,percentwhite,pres2,veryconservative,don'tattendchurch,don'tpray,unemploy,nonwhite,abrvState,catholic_state,jewish_state,evang_state,orthodox_state,bkprot_state,mainline_state,conservative.non.traditional_state,liberal.protestant_state,secular_state,veryReligous,upforElection,Female,Republican,urls2
allen,2006,0,413559,584,144,2758,168,1150,0.001412133,0.000406231,0.006668941,NA,NA,NA,0.000406231,0.000348198,1.00E-09,0.002780741,Virginia,2743,VA,43,0,A000121,1/3/07,George,Allen,Presbyterian,0,0,0,0,0,1,0,0,0,7796,29148,13,300004,109,M,sen,1/3/01,12/9/06,0,1,Republican,0.397,0,0,0,R,NULL,NULL,0,0,0.7441341,2.920493,3.245064,2.763842,2.725534,3.1,0,va,6.210809231,1.075806499,18.35631561,0,6.55966568,14.95631886,0.679983258,0.0988952,52.06220627,0.61,1,0,1,allen
ayotte,2012,0,414881,317,111,1275,165,836,0.000764076,0.000397705,0.003073171,NA,NA,NA,0.000397705,0.000267548,1.00E-09,0.002015037,New Hampshire,8481,NH,17,0,A000368,1/3/17,Kelly,Ayotte,Catholic,0,0,0,0,0,0,1,0,0,439,41106,2075,412493,112,F,sen,1/5/11,1/3/17,0,3,Republican,0.48,0,0,0,R,NULL,NULL,0,0,0.9378378,2.808108,3.456757,4.556757,4.008108,5.6,0,nh,26.78038979,0.602207601,4.118451118,0,0.137480035,7.083332062,0.417849153,0.377641857,60.48021698,0.33,0,1,1,ayotte
barrasso,2008,0,670642,358,421,1152,539,1689,0.000533818,0.000803708,0.001717758,NA,NA,NA,0.000803708,0.000627758,1.00E-09,0.002518483,Wyoming,4785,WY,0,0,B001261,1/3/19,John,Barrasso,Presbyterian,0,0,0,0,0,1,0,0,0,131,40707,1881,412251,110,M,sen,6/25/07,1/3/13,0,1,Republican,0.583,0,0,0,R,NULL,NULL,0,0,0.9508197,2.95082,3.754098,4.1,3.393443,2.9,0,wy,13.13196087,0.072753251,14.16726208,0,0.134042352,10.07059288,10.09572601,0.030644549,52.29701996,0.54,0,0,1,barrasso
barrasso,2010,0,2340338,1522,1328,3910,1512,4831,0.000650334,0.000646062,0.0016707,0.000533818,0.000803708,0.001717758,0.000646062,0.00056744,1.00E-09,0.002064233,Wyoming,4805,WY,3,0,B001261,1/3/19,John,Barrasso,Presbyterian,0,0,0,0,0,1,0,0,0,132,40707,1881,412251,111,M,sen,6/25/07,1/3/13,0,1,Republican,0.583,0,1,0,R,NULL,NULL,0,1,0.9130435,2.967391,3.48913,3.793478,3.152174,6.6,0,wy,13.13196087,0.072753251,14.16726208,0,0.134042352,10.07059288,10.09572601,0.030644549,52.29701996,0.54,0,0,1,barrasso
barrasso,2012,0,2939856,1665,1400,4399,1638,5342,0.000566355,0.000557171,0.001496333,0.000650334,0.000646062,0.0016707,0.000557171,0.000476215,1.00E-09,0.001817097,Wyoming,8481,WY,5,0,B001261,1/3/19,John,Barrasso,Presbyterian,0,0,0,0,0,1,0,0,0,130,40707,1881,412251,112,M,sen,6/25/07,1/3/13,0,1,Republican,0.583,0,1,0,R,NULL,NULL,0,1,0.8794326,3.099291,3.680851,3.985816,3.248227,5.5,0,wy,13.13196087,0.072753251,14.16726208,0,0.134042352,10.07059288,10.09572601,0.030644549,52.29701996,0.54,1,0,1,barrasso
baucus,2006,0,292965,103,249,701,246,921,0.000351579,0.000839692,0.002392778,NA,NA,NA,0.000839692,0.000849932,1.00E-09,0.003143721,Montana,2743,MT,4,0,B000243,2/6/14,Max,Baucus,United Church of Christ,0,0,0,0,0,1,0,0,0,163,14203,66,300005,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.208,0,1,0,D,NULL,NULL,0,1,0.852349,2.691275,3.391892,2.919463,2.714286,3.6,0,mt,15.74327469,0.095833384,10.98834229,0,0.053812895,12.2725935,3.58168602,0.027281886,57.29421234,0.48,0,0,0,baucus
baucus,2008,0,415984,227,389,1131,376,975,0.000545695,0.000903882,0.002718856,0.000351579,0.000839692,0.002392778,0.000903882,0.000935133,1.00E-09,0.002343841,Montana,4785,MT,4,0,B000243,2/6/14,Max,Baucus,United Church of Christ,0,0,0,0,0,1,0,0,0,164,14203,66,300005,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.201,1,0,0,D,NULL,NULL,1,0,0.9210526,3.010526,3.615789,3.657895,3.296296,5.2,0,mt,15.74327469,0.095833384,10.98834229,0,0.053812895,12.2725935,3.58168602,0.027281886,57.29421234,0.48,1,0,0,baucus
baucus,2010,0,766158,499,294,2232,286,1796,0.000651303,0.000373292,0.002913238,0.000545695,0.000903882,0.002718856,0.000373292,0.000383734,1.00E-09,0.002344165,Montana,4805,MT,3,0,B000243,2/6/14,Max,Baucus,United Church of Christ,0,0,0,0,0,1,0,0,0,166,14203,66,300005,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.194,1,0,0,D,NULL,NULL,1,0,0.9038461,3.038461,3.51282,3.690323,3.089744,7.7,0,mt,15.74327469,0.095833384,10.98834229,0,0.053812895,12.2725935,3.58168602,0.027281886,57.29421234,0.48,0,0,0,baucus
baucus,2012,1,1360236,695,591,5206,571,3059,0.000510942,0.000419781,0.003827278,0.000651303,0.000373292,0.002913238,0.000419046,0.000434484,7.36E-07,0.002248875,Montana,8481,MT,7,0,B000243,2/6/14,Max,Baucus,United Church of Christ,0,0,0,0,0,1,0,0,0,165,14203,66,300005,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.186,1,0,0,D,NULL,NULL,1,0,0.9352227,2.910569,3.489879,4.126016,3.378049,6.1,0,mt,15.74327469,0.095833384,10.98834229,0,0.053812895,12.2725935,3.58168602,0.027281886,57.29421234,0.48,0,0,0,baucus
bayh,2006,4,394436,514,93,2246,69,928,0.001303127,0.000174934,0.005694207,NA,NA,NA,0.000164793,0.000235781,1.01E-05,0.002352727,Indiana,2743,IN,3,0,B001233,1/3/11,Evan,Bayh,Episcopalian,0,0,0,0,0,1,0,0,0,8622,49901,1572,300006,109,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.189,0,0,0,D,NULL,NULL,0,0,0.852809,2.860518,3.366474,2.630385,2.578231,5,0,in,12.61125469,0.366403639,18.16075325,0,2.991328239,12.95188332,0.376991361,0.054922666,52.47537231,0.54,0,0,0,bayh
bayh,2008,43,1997125,1855,832,11450,851,3921,0.000928836,0.000426114,0.005733243,0.001303127,0.000174934,0.005694207,0.000404583,0.0004166,2.15E-05,0.001963323,Indiana,4785,IN,109,0,B001233,1/3/11,Evan,Bayh,Episcopalian,0,0,0,0,0,1,0,0,0,8623,49901,1572,300006,110,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.149,0,0,0,D,NULL,NULL,0,0,0.905303,3.112658,3.544192,3.498104,2.911765,6,0,in,12.61125469,0.366403639,18.16075325,0,2.991328239,12.95188332,0.376991361,0.054922666,52.47537231,0.54,0,0,0,bayh
bayh,2010,74,4308552,3877,2419,22111,2165,8181,0.000899839,0.00050249,0.005131888,0.000928836,0.000426114,0.005733243,0.000485315,0.000561443,1.72E-05,0.001898783,Indiana,4805,IN,0,0,B001233,1/3/11,Evan,Bayh,Episcopalian,0,0,0,0,0,1,0,0,0,8624,49901,1572,300006,111,M,sen,1/4/05,12/22/10,0,3,Democrat,-0.11,0,0,0,D,NULL,NULL,0,0,0.8265139,2.957377,3.661211,3.60802,2.967267,10.6,0,in,12.61125469,0.366403639,18.16075325,0,2.991328239,12.95188332,0.376991361,0.054922666,52.47537231,0.54,1,0,0,bayh
begich,2010,0,1084556,589,375,3014,431,1596,0.00054308,0.000397399,0.002779018,NA,NA,NA,0.000397399,0.000345765,1.00E-09,0.001471571,Alaska,4805,AK,0,0,B001265,1/3/15,Mark,Begich,Catholic,0,0,0,0,0,0,1,0,0,168,40900,1898,412326,111,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.278,0,0,0,D,NULL,NULL,NULL,NULL,0.8014706,3.118519,3.602941,4.058824,3.367647,8,0,ak,8.218084335,0,14.30106354,0,1.071916223,5.736642361,2.863594294,0.049268875,67.75942993,0.45,0,0,0,begich
begich,2012,2,4767853,1494,533,9141,792,24389,0.00031335,0.000166114,0.001917216,0.00054308,0.000397399,0.002779018,0.000165694,0.000111791,4.20E-07,0.005115301,Alaska,8481,AK,6,0,B001265,1/3/15,Mark,Begich,Catholic,0,0,0,0,0,0,1,0,0,167,40900,1898,412326,112,M,sen,1/6/09,1/3/15,0,2,Democrat,-0.278,0,0,0,D,NULL,NULL,0,0,0.7421875,2.929688,3.4375,4.102362,3.708661,7.4,0,ak,8.218084335,0,14.30106354,0,1.071916223,5.736642361,2.863594294,0.049268875,67.75942993,0.45,0,0,0,begich
bennet,2010,0,2204440,801,1294,3943,1411,2671,0.000363359,0.000640073,0.001788664,NA,NA,NA,0.000640073,0.000586998,1.00E-09,0.001211647,Colorado,4805,CO,2,1,B001267,1/3/23,Michael,Bennet,Unafilated,1,0,0,0,0,0,0,0,0,491,40910,1965,412330,111,M,sen,1/22/09,12/22/10,0,3,Democrat,-0.248,0,0,0,D,NULL,NULL,0,0,0.7554919,2.858373,3.34957,4.013371,3.239234,8.7,0,co,14.65799141,1.473715663,11.2502327,0,1.069179893,8.61615181,2.134322643,0.088665776,60.70973969,0.47,1,0,0,bennet
bennet,2012,0,2562171,1620,843,7663,1061,5705,0.000632277,0.000414103,0.002990824,0.000363359,0.000640073,0.001788664,0.000414103,0.000329019,1.00E-09,0.002226628,Colorado,8481,CO,7,0,B001267,1/3/23,Michael,Bennet,Unafilated,1,0,0,0,0,0,0,0,0,492,40910,1965,412330,112,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.248,0,0,0,D,NULL,NULL,NULL,NULL,0.7985758,2.801223,3.352342,4.147508,3.575356,8.1,0,co,14.65799141,1.473715663,11.2502327,0,1.069179893,8.61615181,2.134322643,0.088665776,60.70973969,0.47,0,0,0,bennet
bennett,2006,28,1651918,896,1731,5039,1540,3965,0.000542401,0.000932251,0.003050395,NA,NA,NA,0.000915301,0.001047874,1.70E-05,0.002400241,Utah,2743,UT,0,0,B000382,1/3/11,Robert,Bennett,Mormon,0,0,0,1,0,0,0,0,0,8633,49307,1280,300007,109,M,sen,1/4/05,12/22/10,0,3,Republican,0.346,0,0,0,R,NULL,NULL,0,0,0.8848315,2.688385,3.360795,2.269886,2.481482,2.9,0,ut,3.849203348,0.171227902,2.214528322,0,0.181907892,1.541399479,71.75563812,0.043300346,20.24279594,0.64,0,0,1,bennett
bennett,2008,4,2661753,1761,3829,7339,3208,5500,0.000661595,0.001205222,0.002757206,0.000542401,0.000932251,0.003050395,0.001203719,0.001438527,1.50E-06,0.002066308,Utah,4785,UT,0,0,B000382,1/3/11,Robert,Bennett,Mormon,0,0,0,1,0,0,0,0,0,8634,49307,1280,300007,110,M,sen,1/4/05,12/22/10,0,3,Republican,0.349,0,1,0,R,NULL,NULL,0,1,0.8885449,2.968847,3.681114,3.130031,2.674121,3.5,0,ut,3.849203348,0.171227902,2.214528322,0,0.181907892,1.541399479,71.75563812,0.043300346,20.24279594,0.64,0,0,1,bennett
bennett,2010,7,2639196,1962,1967,6132,2211,5869,0.000743409,0.000837756,0.002323436,0.000661595,0.001205222,0.002757206,0.000835104,0.000745304,2.65E-06,0.002223784,Utah,4805,UT,1,2,B000382,1/3/11,Robert,Bennett,Mormon,0,0,0,1,0,0,0,0,0,8635,49307,1280,300007,111,M,sen,1/4/05,12/22/10,0,3,Republican,0.352,0,1,0,R,NULL,NULL,0,1,0.8622449,3.102041,3.589286,3.091837,2.688776,8.2,0,ut,3.849203348,0.171227902,2.214528322,0,0.181907892,1.541399479,71.75563812,0.043300346,20.24279594,0.64,1,0,1,bennett
biden,2006,1568,5343596,5622,6146,28200,5988,13605,0.001052101,0.001120595,0.005277346,NA,NA,NA,0.000827159,0.001150163,0.000293436,0.002546039,Delaware,2743,DE,1,0,B000444,1/15/09,Joseph,Biden,Catholic,0,0,0,0,0,0,1,0,0,9655,14101,1284,300008,109,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.292,0,1,0,D,NULL,NULL,0,1,0.7981651,2.853211,3.4,2.752294,2.805556,3.5,0,de,17.46421242,1.426066756,5.658032417,0,6.011847019,14.7925148,0.418212831,0.218113154,54.01100159,0.52,0,0,0,biden
biden,2008,3576,9072655,10047,9423,41975,11599,22045,0.001107395,0.001278458,0.004626541,0.001052101,0.001120595,0.005277346,0.000884307,0.001038616,0.000394152,0.00242983,Delaware,4785,DE,0,0,B000444,1/15/09,Joseph,Biden,Catholic,0,0,0,0,0,0,1,0,0,9656,14101,1284,300008,110,M,sen,1/7/03,1/3/09,0,2,Democrat,-0.284,1,0,0,D,NULL,NULL,1,0,0.736,3.176,3.48,3.944,3.180328,5,0,de,17.46421242,1.426066756,5.658032417,0,6.011847019,14.7925148,0.418212831,0.218113154,54.01100159,0.52,1,0,0,biden
bingaman,2006,0,700271,494,182,2049,145,1163,0.000705442,0.000207064,0.002926011,NA,NA,NA,0.000207064,0.0002599,1.00E-09,0.001660787,New Mexico,2743,NM,27,0,B000468,1/3/13,Jeff,Bingaman,Methodist,0,0,0,0,0,1,0,0,0,10289,14912,1285,300009,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.334,0,1,0,D,NULL,NULL,0,1,0.5482866,3.072327,3.179811,2.889937,2.801262,4.4,0,nm,30.8471756,0.40097183,17.73780632,0,0.465061337,6.555807114,2.602455616,0.087586768,41.30313492,0.57,1,0,0,bingaman
bingaman,2008,46,3470196,1029,1882,13833,1319,4901,0.000296526,0.000380095,0.003986231,0.000705442,0.000207064,0.002926011,0.000366839,0.000542333,1.33E-05,0.001412313,New Mexico,4785,NM,4,1,B000468,1/3/13,Jeff,Bingaman,Methodist,0,0,0,0,0,1,0,0,0,10291,14912,1285,300009,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.34,1,0,0,D,NULL,NULL,1,0,0.6615385,3.184615,3.361538,3.723077,3.338521,4.4,0,nm,30.8471756,0.40097183,17.73780632,0,0.465061337,6.555807114,2.602455616,0.087586768,41.30313492,0.57,0,0,0,bingaman
bingaman,2010,77,8903124,2851,3932,36013,3695,11599,0.000320226,0.000415024,0.004044986,0.000296526,0.000380095,0.003986231,0.000406375,0.000441644,8.65E-06,0.001302802,New Mexico,4805,NM,9,0,B000468,1/3/13,Jeff,Bingaman,Methodist,0,0,0,0,0,1,0,0,0,10292,14912,1285,300009,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.346,1,0,0,D,NULL,NULL,1,0,0.7122642,2.869976,3.337264,3.85849,3.148585,8.5,0,nm,30.8471756,0.40097183,17.73780632,0,0.465061337,6.555807114,2.602455616,0.087586768,41.30313492,0.57,0,0,0,bingaman
bingaman,2012,9,5281767,2508,1642,17459,1484,10224,0.000474842,0.000280968,0.003305524,0.000320226,0.000415024,0.004044986,0.000279264,0.000310882,1.70E-06,0.001935717,New Mexico,8481,NM,10,0,B000468,1/3/13,Jeff,Bingaman,Methodist,0,0,0,0,0,1,0,0,0,10290,14912,1285,300009,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.353,1,0,0,D,NULL,NULL,1,0,0.7197309,2.773034,3.352809,3.972973,3.444944,7.1,0,nm,30.8471756,0.40097183,17.73780632,0,0.465061337,6.555807114,2.602455616,0.087586768,41.30313492,0.57,1,0,0,bingaman
blumenthal,2012,6,530577,511,142,2635,244,1027,0.000963103,0.000459878,0.004966292,NA,NA,NA,0.000448569,0.000267634,1.13E-05,0.00193563,Connecticut,8481,CT,16,0,B001277,1/3/23,Richard,Blumenthal,Jew,0,0,1,0,0,0,0,0,0,531,41101,2076,412490,112,M,sen,1/5/11,1/3/17,0,3,Democrat,-0.418,0,0,0,D,NULL,NULL,NULL,NULL,0.8022329,2.5664,3.274322,4.248804,3.995215,8.4,0,ct,41.8222847,3.512501478,4.15199852,0,2.639517546,9.690166473,0.245656073,0.126889348,37.70691299,0.43,0,0,0,blumenthal
blunt,2012,68,1222280,801,822,8715,1325,2890,0.000655334,0.001084041,0.007130118,NA,NA,NA,0.001028407,0.000672515,5.56E-05,0.002364435,Missouri,8481,MO,0,2,B000575,1/3/23,Roy,Blunt,Baptist,0,0,0,0,0,1,0,0,0,539,29735,1464,400034,112,M,sen,1/5/11,1/3/17,0,3,Republican,0.393,0,0,0,R,NULL,NULL,0,0,0.8181049,2.801184,3.429661,3.671186,3.123729,6.9,0,mo,15.67464447,0.664534092,25.92865181,0,3.30956769,11.00644875,0.544784069,0.048641089,42.44971848,0.6,0,0,1,blunt
bond,2006,200,2581846,2827,2065,11935,1977,6955,0.001094954,0.000765732,0.004622662,NA,NA,NA,0.000688268,0.000799816,7.75E-05,0.00269381,Missouri,2743,MO,71,0,B000611,1/3/11,Christopher,Bond,Presbyterian,0,0,0,0,0,1,0,0,0,8669,15501,1286,300010,109,M,sen,1/4/05,12/22/10,0,3,Republican,0.311,0,0,0,R,NULL,NULL,0,0,0.8242424,2.924666,3.321739,2.728501,2.591358,4.8,0,mo,15.67464447,0.664534092,25.92865181,0,3.30956769,11.00644875,0.544784069,0.048641089,42.44971848,0.6,0,0,1,bond
bond,2008,1107,4002775,5619,2221,16143,3162,10678,0.001403777,0.000789953,0.004032953,0.001094954,0.000765732,0.004622662,0.000513395,0.000554866,0.000276559,0.00266765,Missouri,4785,MO,218,2,B000611,1/3/11,Christopher,Bond,Presbyterian,0,0,0,0,0,1,0,0,0,8670,15501,1286,300010,110,M,sen,1/4/05,12/22/10,0,3,Republican,0.314,0,1,0,R,NULL,NULL,0,1,0.911007,3.137163,3.4274,3.5726,3.211584,6.1,0,mo,15.67464447,0.664534092,25.92865181,0,3.30956769,11.00644875,0.544784069,0.048641089,42.44971848,0.6,0,0,1,bond
bond,2010,1575,9174836,14235,5995,33879,6961,23648,0.001551527,0.000758707,0.003692601,0.001403777,0.000789953,0.004032953,0.000587041,0.000653419,0.000171666,0.002577486,Missouri,4805,MO,37,0,B000611,1/3/11,Christopher,Bond,Presbyterian,0,0,0,0,0,1,0,0,0,8671,15501,1286,300010,111,M,sen,1/4/05,12/22/10,0,3,Republican,0.317,0,1,0,R,NULL,NULL,0,1,0.8347965,2.91207,3.548722,3.581804,2.780527,9.5,0,mo,15.67464447,0.664534092,25.92865181,0,3.30956769,11.00644875,0.544784069,0.048641089,42.44971848,0.6,1,0,1,bond
brown,2008,0,2431461,1818,871,7006,847,3183,0.0007477,0.000348351,0.002881396,NA,NA,NA,0.000348351,0.000358222,1.00E-09,0.00130909,Ohio,4785,OH,53,0,B000944,1/3/19,Sherrod,Brown,Lutheran,0,0,0,0,0,1,0,0,0,9,29389,136,400050,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.501,0,0,0,D,NULL,NULL,NULL,NULL,0.8941606,3.162044,3.39927,3.749452,3.362031,6.5,0,oh,19.74513054,1.150831342,10.65159702,0,3.93164444,14.29646492,0.285596669,0.060209557,49.87026596,0.58,0,0,0,brown
brown,2010,0,8923328,5082,3124,28469,2787,11273,0.000569519,0.000312328,0.003190403,0.0007477,0.000348351,0.002881396,0.000312328,0.000350095,1.00E-09,0.001263319,Ohio,4805,OH,0,0,B000944,1/3/19,Sherrod,Brown,Lutheran,0,0,0,0,0,1,0,0,0,10,29389,136,400050,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.501,0,0,0,D,NULL,NULL,0,0,0.8373848,2.898071,3.446309,3.707879,3.07083,10.1,0,oh,19.74513054,1.150831342,10.65159702,0,3.93164444,14.29646492,0.285596669,0.060209557,49.87026596,0.58,0,0,0,brown
brown,2012,0,1228547,312,203,2568,245,1167,0.00025396,0.000199424,0.002090275,0.000569519,0.000312328,0.003190403,0.000199424,0.000165237,1.00E-09,0.000949904,Ohio,8481,OH,127,1,B000944,1/3/19,Sherrod,Brown,Lutheran,0,0,0,0,0,1,0,0,0,8,29389,136,400050,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.501,0,0,0,D,NULL,NULL,0,0,0.810025,2.667001,3.384847,3.876382,3.17328,7.2,0,oh,19.74513054,1.150831342,10.65159702,0,3.93164444,14.29646492,0.285596669,0.060209557,49.87026596,0.58,1,0,0,brown
